platform,property_id,title,description,price_etb,subcity,sq_m,bedrooms,bathrooms,is_furnished,url
ethiopianproperties,1695,Fully Furnished 1 Bedroom Apartment for Rent in Addis Ababa Kazanchis,"Situated on the top floor of an apartment block inside a compound
Nice  balcony with great view
Solid hardwood floors
Clean and functional space
Backup generator
Professional management on site
Basement parking
Nice garden
Good natural lights",208000.0,Kirkos,,,,False,
ethiopianproperties,1694,4 Bedroom House for Rent in Addis Ababa,"Solidly built and recently renovated
Conveniently located near Comoros street in a quiet area
Spacious rooms
Security upgrades done by the US embassy, who was the previous tenant
Good natural lights
Basment for multipurpose functions
Nice balconies",800000.0,Other,,,,False,
ethiopianproperties,1693,House with a Beautiful Garden for Lease in Top View,"This 3 bedroom house was carefully designed and built about 15 years ago.
However, age has not defied its charm and beauty.
It has always been leased to expatriate families since it was constructed.
The great size and well designed private garden makes it unique.
Its functional fireplace and the hardwood floors make it warm and cozy family homes for a small family.
The living room has a great view of the garden. Some of the spacious balconies also overlook the stunning garden.
In addition to the main living space, there are more than enough service rooms, which can serve any purpose as required.
The covered carport is also a big plus.",480000.0,Other,,,,False,
ethiopianproperties,1690,Guesthouse for Lease in Addis Ababa,"Spacious guesthouse located in a residential neighborhood
Fully furnished
Ground floor: living room, dining room, kitchen, study, restroom & balcony
1st Floor: master bedroom with its own bathroom and balcony, and 3 additional bedrooms with a common bathroom
2nd Floor: Family room, 1 Bedroom with bathroom and terrace
Parking for 3 cars
Guard House with bathroom",288000.0,Other,,,,True,
ethiopianproperties,1688,House for Rent in Sidst Kilo Addis Ababa,"Good size family house with 4 bedrooms
Well maintained house
One of the biggest and nicely maintained gardens in town
Quiet residential neighborhood
Green location on a hill
Wonderful terrace
Rent is negotiable",800000.0,Other,,,,False,
ethiopianproperties,2687,1st Class Penthouse for Rent in Bole,"Beautiful open plan design
Fully furnished with quality furniture
Good natural lights
Private terrace/barbecue area
3 bedrooms, 2 bathrooms, laundry room
Spacious living room idea to entertain guests
Beautiful open kitchen
Only 5 units in the building each occupying a whole floor
Quiet and peaceful neighborhood
Elevator
Backup generator
24/7 security
CCTV
Water reservoir",960000.0,Bole,,,,True,
ethiopianproperties,1686,1st Class Penthouse for Rent in Old Airport,"Top class duplex apartment
Superior finishing done by Italian builders
Good natural lights and ventilation
Amazing private terrace with great view
3 bedrooms, 2.5 baths, laundry room
Spacious living room
Modern open kitchen
Allocated parking space
CCTV
Emergency exit
Elevator
24/7 security",800000.0,Nifas-Silk-Lafto,,,,False,
ethiopianproperties,1683,Furnished House for Rent in Bole Addis Ababa,"4 bedrooms, 3 bathrooms
Fully furnished
Several service rooms
Attic, which can be repurposed for anything
Nice balconies with a garden view
Wonderful garden
Potted plants
Covered carport
Quiet residential neighborhood
Rent is negotiable depending on payment terms",560000.0,Bole,,,,True,
ethiopianproperties,1681,Beautiful Villa with a River View,"Solidly built and impeccably maintained
Beautiful and big garden
Beautiful solid wooden floors
High grade almost new kitchen cabinets
Perfect space distribution with 4 bedrooms and 3 bathrooms upstairs and a study, a living room, kitchen and a restroom downstairs
Plenty of extra space in the service area
Located inside a quiet and peaceful gated community
Call for price",960000.0,Other,,,,False,
ethiopianproperties,1679,Fully Furnished Brand New Apartment for Lease in Addis Ababa,"Brand new 4 bedroom apartment
Tastefully furnished
Superior finishing
Good natural lights
Centrally located
In close proximity to ECA
Minutes away from the airport
Minutes away from the Atlas roundabout
Quiet residential neighborhood
Allocated parking in the basement
Rooftop terrace
Concierge service
24/7 security
Elevator
Garbage chute on every floor",400000.0,Bole,,,,True,
